,A,B,C,D
2000-02-05,2.388468,1.095665,-2.791908,-1.237716
2000-02-06,2.241427,-0.494597,-0.394499,0.084447
2000-02-07,0.026176,-0.847665,-1.411604,-2.489387
2000-02-08,-0.594846,2.77168,1.716585,0.379566
2000-02-09,-0.870334,2.431766,1.196542,-0.039458
2000-02-10,-1.923112,0.278963,-2.7476,-1.725855
2000-02-11,1.118226,0.831238,2.569842,2.183656
2000-02-12,2.58092,1.28877,0.218339,-2.701581
2000-02-13,0.898794,0.898438,-1.865055,2.393104
2000-02-14,-1.93049,1.664844,2.118048,2.896247
2000-02-15,2.744689,0.643884,2.332261,-0.46141
2000-02-16,-1.824271,0.685768,-0.434171,1.476338
2000-02-17,-2.177837,1.812709,-1.090305,0.116574
2000-02-18,2.200837,1.422399,-1.857425,0.471663
2000-02-19,0.513226,0.201726,1.909145,1.156621
2000-02-20,1.734652,2.016052,0.768671,2.117977
2000-02-21,2.183166,-1.892274,2.369159,2.844836
2000-02-22,-1.89266,-1.306613,2.367294,1.162396
2000-02-23,2.54121,0.492931,-2.732756,-2.25468
2000-02-24,-0.428942,-1.146079,2.091565,2.21297
2000-02-25,-1.757233,-0.046451,-1.274778,-0.919412
2000-02-26,-1.390102,2.066115,-2.111024,-0.059822
2000-02-27,1.881683,-0.922622,1.001084,-1.968121
2000-02-28,-2.723436,-1.692038,1.676539,-1.158706
2000-02-29,-1.979059,0.27637,-1.709214,-0.479692
2000-03-01,-0.045784,-1.711974,0.900082,0.778554
2000-03-02,2.410267,2.680116,-2.136582,-0.570212
2000-03-03,2.441926,-1.817145,-2.248853,-1.997937
2000-03-04,2.039042,-0.823819,-1.446815,1.73266
2000-03-05,1.762179,-1.37328,0.814915,-1.13161
2000-03-06,-0.827002,-1.816769,2.131629,1.47897
2000-03-07,-1.411145,1.289611,1.422594,0.965763
2000-03-08,0.023107,0.242876,0.583553,-0.889665
2000-03-09,1.694142,-2.120582,-1.518279,1.856833
2000-03-10,0.195106,-0.983819,-2.189947,-0.940667
2000-03-11,-2.687213,-2.095743,-0.942199,1.149921
2000-03-12,2.568109,-0.229216,-0.217877,1.09534
2000-03-13,-2.177834,-0.969144,1.480725,-2.890305
2000-03-14,2.750725,1.944541,-1.331747,0.37778
2000-03-15,-2.363427,-2.625051,-0.750589,0.518217
2000-03-16,-1.236866,1.871653,1.959467,1.677704
2000-03-17,1.714183,-1.440379,-2.491902,-0.002715
2000-03-18,-0.906451,1.257205,-2.884774,0.728638
2000-03-19,-0.424877,-2.122474,-0.632271,0.503028
2000-03-20,-1.222495,2.486056,1.753665,1.167645
2000-03-21,-0.770905,1.392929,-1.154128,0.20367
2000-03-22,2.648419,-2.647986,2.909546,-0.972466
2000-03-23,2.910973,-0.680496,0.698601,0.451415
2000-03-24,2.40784,-0.706755,-1.616574,0.241155
2000-03-25,0.022826,2.509828,-1.082215,1.059382
2000-03-26,1.663852,2.719833,0.705439,0.118711
2000-03-27,0.180801,2.392502,-2.832774,0.594539
2000-03-28,-1.413957,0.519445,-2.262867,-0.740963
2000-03-29,-1.234704,-1.807151,-0.068935,-1.102445
2000-03-30,-0.674499,0.327046,-2.565185,-0.144227
2000-03-31,2.872874,2.773112,0.647917,0.540527
2000-04-01,-1.151754,-0.355431,-2.202169,-0.14063
2000-04-02,1.06834,-0.071904,0.604153,1.433505
2000-04-03,-0.669435,1.396515,0.525216,-2.044127
2000-04-04,1.835434,1.472201,-2.140218,2.290762
2000-04-05,-0.23533,-2.992608,2.404157,-0.176587
2000-04-06,-2.875437,-0.046238,0.980361,-1.832259
2000-04-07,-0.076881,1.586953,1.953709,-0.372659
2000-04-08,2.896023,-1.667346,-2.151636,2.77962
2000-04-09,-2.669561,-0.690854,0.347194,2.214954
2000-04-10,0.057134,-0.542909,-2.672527,-0.187577
2000-04-11,-0.609604,0.570743,1.136723,2.970741
2000-04-12,2.691742,1.675553,-0.946803,2.93764
2000-04-13,2.317327,0.015558,2.803281,-0.206916
2000-04-14,1.980512,0.419781,0.123277,-0.25875
2000-04-15,-1.979999,-1.989795,-2.344188,-0.846629
2000-04-16,-2.289548,-2.90521,-1.038688,0.278136
2000-04-17,-0.413568,-2.342667,-1.897258,-2.301579
2000-04-18,0.772117,0.111813,0.127036,-1.537216
2000-04-19,-0.481936,-1.067721,-1.18063,0.357206
2000-04-20,-0.457091,-1.599869,1.346685,-1.992762
2000-04-21,-1.638193,1.02906,0.834572,-0.587237
2000-04-22,-1.445066,-2.766272,-0.4631,-1.882778
2000-04-23,2.888324,1.501666,-2.939736,2.500267
2000-04-24,-0.654163,-2.291305,0.095602,-2.342616
2000-04-25,2.465016,0.286566,0.287037,0.992181
2000-04-26,-1.108943,0.707335,-2.766747,-0.003406
2000-04-27,-0.227839,0.192392,-1.830575,-0.268568
2000-04-28,-1.484058,-2.315108,2.617988,2.244231
2000-04-29,-0.48938,2.942706,-2.775767,2.573549
2000-04-30,-0.313836,2.114861,-2.892004,2.088402
2000-05-01,-1.75044,1.35782,1.365364,-0.301311
2000-05-02,0.574858,2.928788,-0.155348,2.947022
2000-05-03,2.062627,-0.238415,-0.001426,-1.845486
2000-05-04,2.804942,-1.213466,0.479772,-0.357298
2000-05-05,-1.898989,0.199093,0.199623,0.590824
2000-05-06,-2.734966,-2.487095,-0.189517,0.312378
2000-05-07,-0.248155,1.551229,0.999211,0.646906
2000-05-08,1.397433,-1.46339,-2.404881,-2.237384
2000-05-09,-1.46965,0.132014,1.298181,-1.047461
2000-05-10,-0.143442,1.667471,1.823576,2.981536
2000-05-11,-0.645797,-0.145325,2.4364,-2.79643
2000-05-12,1.936335,-2.952171,-2.784422,-2.981714
2000-05-13,-0.651467,-0.44763,-2.061228,1.273023
2000-05-14,-1.335082,0.614089,-1.779705,0.941016
2000-05-15,-0.170008,-1.460478,-1.538199,-0.181341
2000-05-16,-0.034772,2.904318,1.29072,-2.915735
2000-05-17,-1.381648,2.999686,-2.535835,0.347943
2000-05-18,-2.220298,0.547863,0.706284,0.296733
2000-05-19,1.324045,-0.714104,0.624717,2.201341
2000-05-20,2.55774,-0.727084,-0.282884,-2.599659
2000-05-21,1.760092,-0.280579,-2.468636,-2.585113
2000-05-22,2.004233,-1.232054,-1.716601,2.571542
2000-05-23,-2.873137,-2.027128,1.664264,1.922966
2000-05-24,-1.512344,1.232963,0.183255,-2.144195
2000-05-25,-2.881892,2.623601,-1.803244,1.062236
2000-05-26,1.00614,2.956535,-0.237404,-2.47378
2000-05-27,-0.403328,0.96332,0.637493,0.837649
2000-05-28,-0.890043,1.754497,0.100385,2.497154
2000-05-29,2.988367,0.649888,-1.162812,-0.088524
2000-05-30,1.678875,0.606296,1.862738,2.503894
2000-05-31,1.042413,-1.712805,2.383431,-1.223691
2000-06-01,2.952801,1.324906,-0.3807,-0.740772
2000-06-02,-2.893102,1.519087,0.906991,2.072948
2000-06-03,-2.285842,1.596239,-0.104648,1.29789
2000-06-04,-1.432317,-1.276736,0.323073,1.514132
2000-06-05,1.02044,-1.775984,-1.266941,2.719795
2000-06-06,1.599206,-0.108907,1.530933,0.375035
2000-06-07,-0.614636,0.916012,2.035323,1.543038
2000-06-08,1.875603,-2.220732,-0.404689,-1.988522
2000-06-09,1.807079,2.447614,-0.534347,0.877554
2000-06-10,2.390602,-0.080731,-1.066885,-1.633214
2000-06-11,0.541847,2.53865,2.177518,-2.369598
2000-06-12,-2.965381,1.570526,-0.471211,-0.071773
2000-06-13,1.021661,-1.720599,-1.853408,0.953601
2000-06-14,0.077486,-0.79673,0.701803,-1.906021
2000-06-15,-0.185799,-0.558249,-1.620647,-1.854546
2000-06-16,1.205262,1.596968,-1.550292,2.411555
2000-06-17,1.023605,2.511402,0.771449,-2.783692
2000-06-18,-2.740442,-2.8597,1.890192,0.648621
2000-06-19,1.030458,2.777096,-0.110702,0.829677
2000-06-20,1.327818,-0.581383,-0.174436,1.157156
2000-06-21,-1.030534,-0.687212,-1.551674,1.82966
2000-06-22,-2.667027,0.674804,1.953122,-1.50812
2000-06-23,1.843225,-2.811306,1.761316,2.065618
2000-06-24,1.770953,0.2295,-1.255178,2.743896
2000-06-25,0.670546,0.747162,1.930267,-2.27499
2000-06-26,-0.255574,0.446602,-2.48029,-1.449532
2000-06-27,-2.432242,-0.72071,2.055242,1.885367
2000-06-28,-2.058727,2.329998,-0.267472,1.241906
2000-06-29,-2.838566,1.93826,0.233603,2.496294
2000-06-30,0.706182,-1.662541,2.001946,1.086447
2000-07-01,-2.769026,0.225277,-1.376899,1.502485
2000-07-02,-1.146179,-2.502364,2.901862,2.094117
2000-07-03,2.979487,1.884103,2.342239,0.318657
2000-07-04,2.372039,-0.583908,-0.960804,-2.659522
2000-07-05,0.831398,-0.459927,-1.518643,2.367353
2000-07-06,-0.336498,-2.743689,-2.558378,0.27122
2000-07-07,-2.844759,2.919582,2.997873,2.890543
2000-07-08,-2.525768,1.281617,0.778673,0.948512
2000-07-09,0.810048,0.985924,0.769109,-2.254024
2000-07-10,-2.842538,-1.95605,1.439655,-0.29992
2000-07-11,-2.08622,-2.172521,1.57616,2.399204
2000-07-12,-1.578731,1.805426,-2.00818,2.131913
2000-07-13,-1.267739,-2.365861,-1.707785,1.822218
2000-07-14,-2.791606,2.278619,1.042213,-1.034426
2000-07-15,-1.912987,1.597933,-0.951196,-0.490348
2000-07-16,-0.143288,-1.728489,-2.973351,-2.338983
2000-07-17,-1.819542,-2.926218,0.653362,-0.676535
2000-07-18,-0.811221,2.32305,1.949258,0.285875
2000-07-19,-1.763084,-1.16367,0.031597,1.377055
2000-07-20,-2.321114,-1.084777,2.596009,-2.407863
2000-07-21,0.857835,-0.231225,-2.031937,-1.330258
2000-07-22,2.346076,2.347632,-1.754304,2.761169
2000-07-23,2.489691,1.819645,-1.08161,-1.317445
2000-07-24,1.521537,1.860461,-2.598216,-0.222005
2000-07-25,2.903001,-0.43654,0.166608,-0.353745
2000-07-26,1.138837,-2.90819,-0.43144,0.895808
2000-07-27,-1.919125,0.201211,1.101001,2.692543
2000-07-28,1.695414,-1.544692,-0.404949,1.1516
2000-07-29,0.415557,-2.663409,-1.118069,-1.400622
2000-07-30,2.533769,0.523949,-0.389888,-2.606093
2000-07-31,-0.388617,-2.636069,-1.724936,1.341356
2000-08-01,1.590804,-1.993898,-2.92785,0.783556
2000-08-02,1.192603,0.803758,-1.076564,-1.843929
2000-08-03,2.263729,1.399612,2.956902,-2.771623
2000-08-04,-0.985512,-1.578073,2.831813,-0.662584
2000-08-05,-1.45901,-1.090059,1.606711,-2.287183
2000-08-06,-2.323814,1.46826,2.336745,0.466741
2000-08-07,1.046653,-1.281709,-0.73525,-2.016615
2000-08-08,-1.766265,0.870625,0.335802,1.292816
2000-08-09,0.146659,-0.814371,-2.182397,-1.44913
2000-08-10,0.11169,-2.279597,2.049385,-1.028462
2000-08-11,-2.234569,0.078572,1.769676,-2.529732
2000-08-12,1.6118,2.885274,-2.91143,0.876322
2000-08-13,1.061232,1.403056,-0.027164,1.859361
2000-08-14,0.917156,1.085248,0.102428,1.69009
2000-08-15,-1.391282,-2.068269,-2.865241,-2.383129
2000-08-16,0.990278,2.267911,-2.221764,2.989838
2000-08-17,1.23715,-2.988979,-2.370616,-1.698847
2000-08-18,-0.736456,-1.381216,-0.531953,-0.965329
2000-08-19,-2.827332,-1.266221,1.632941,1.630331
2000-08-20,-1.479579,1.04276,0.215029,-2.031712
2000-08-21,2.633085,-0.936511,-2.891037,1.564837
2000-08-22,-1.134067,0.45255,2.453024,-0.853186
2000-08-23,0.523631,-0.004067,-1.334241,1.433292
2000-08-24,-1.815204,0.700064,-1.847235,-1.197051
2000-08-25,-0.61791,0.344283,-0.190268,-0.937348
2000-08-26,-0.014341,1.486685,0.688186,1.757355
2000-08-27,2.221763,2.233532,0.618029,0.373565
2000-08-28,-0.970104,-2.911644,1.196257,0.388214
2000-08-29,0.420691,-2.109781,-1.646065,-0.598124
2000-08-30,0.643382,-1.768577,1.703791,-2.430085
2000-08-31,1.30559,-1.186616,-1.95155,2.207218
2000-09-01,-0.890319,1.955177,2.794659,1.79179
2000-09-02,-2.421087,2.912675,-0.428509,-0.370374
2000-09-03,-1.956896,-2.202979,-0.909162,2.16783
2000-09-04,-1.762498,0.699564,-2.783841,-0.644893
2000-09-05,1.140057,-1.863784,1.320753,-1.451653
2000-09-06,2.131245,-2.882402,-0.680497,1.251114
2000-09-07,-0.792883,-1.967876,-2.751678,1.444496
2000-09-08,0.810188,-2.902372,-1.056782,-0.567153
2000-09-09,-1.135706,-0.607098,-0.76383,1.976591
2000-09-10,2.808539,0.42395,2.137722,0.021333
2000-09-11,1.821885,1.810573,-2.283574,-2.442823
2000-09-12,1.013999,-1.002711,-0.186961,-2.945787
2000-09-13,1.129383,1.898422,1.342554,-1.480225
2000-09-14,-1.729148,1.080588,-1.260063,0.510178
2000-09-15,2.29487,2.466642,-1.904351,2.404237
2000-09-16,-2.134735,0.613505,0.704748,1.907989
2000-09-17,0.673324,-1.627819,-2.881351,2.109662
2000-09-18,-0.958776,-2.818415,0.341311,-1.558986
2000-09-19,-1.977706,-2.621282,0.551871,-0.374196
2000-09-20,-2.80446,-0.273971,1.663483,0.108242
2000-09-21,-1.376638,-2.137293,2.143345,-1.446097
2000-09-22,1.90039,2.579993,0.821642,-0.19733
2000-09-23,-1.132159,2.701427,2.907356,-1.872112
2000-09-24,-2.598221,1.917378,-1.893368,1.818048
2000-09-25,-2.294852,0.178979,-0.395358,0.946877
2000-09-26,-0.25757,2.200023,1.724578,1.734879
2000-09-27,2.852284,0.24617,-0.682306,0.129924
2000-09-28,0.157463,-0.290751,-0.633987,-1.853359
2000-09-29,-2.837151,-0.029797,0.894567,-2.896056
2000-09-30,-0.108634,-2.252307,1.092757,-1.81285
2000-10-01,-0.945935,-0.489866,-0.465319,0.735753
2000-10-02,1.084655,1.597371,0.56598,-1.679989
2000-10-03,-1.609811,-0.545978,0.290012,2.019158
2000-10-04,-0.121322,2.819893,-2.861113,1.351087
2000-10-05,0.72081,1.853709,-2.244869,-1.971954
2000-10-06,-0.613003,-0.015207,0.837476,0.124932
2000-10-07,0.272427,2.793166,0.719527,2.346399
2000-10-08,1.681779,2.411886,-2.247228,-2.133875
2000-10-09,-2.408232,1.826355,2.055636,-1.313835
2000-10-10,-0.556354,1.013608,-1.131976,-1.37357
2000-10-11,-0.760723,1.12053,-0.383962,-0.096044
2000-10-12,1.423409,-0.176739,2.844258,-1.201267
2000-10-13,-1.568794,-1.359086,1.413245,-1.872544
2000-10-14,1.364137,-0.704882,-1.212353,0.158691
2000-10-15,-2.971239,-0.787291,-2.144492,1.202541
2000-10-16,-0.468022,-2.037691,-1.477865,0.395026
2000-10-17,-1.227274,2.796347,-0.687893,-1.828016
2000-10-18,1.504197,2.538438,-0.609264,2.589404
2000-10-19,1.162006,2.811949,-1.218467,-2.00326
2000-10-20,-1.637158,2.048852,2.108968,2.606835
2000-10-21,2.874534,-1.151092,2.936027,-0.769297
2000-10-22,-0.057508,1.077528,-0.306156,-1.142462
2000-10-23,-2.871034,-0.403454,0.315879,1.859905
2000-10-24,2.280519,-1.284514,-1.008139,-1.6088
2000-10-25,0.885626,-0.668229,0.94697,0.017069
2000-10-26,-0.081697,-0.703324,-0.170571,0.784567
2000-10-27,-2.714903,2.799687,1.154949,-2.217521
2000-10-28,-0.798164,-1.49271,2.30917,2.783314
2000-10-29,0.222942,0.823078,-1.150491,1.782082
2000-10-30,2.230154,-2.045592,0.27553,2.159118
2000-10-31,1.458958,-1.523283,0.0522,-0.206234
2000-11-01,-1.399974,0.77995,-1.526859,-1.257111
2000-11-02,0.159423,1.16243,0.941196,2.07277
2000-11-03,-2.404637,2.405839,2.421374,-1.904929
2000-11-04,-1.729246,-2.579148,-2.813516,1.607128
2000-11-05,2.969748,-2.003668,-2.471502,0.773978
2000-11-06,2.623033,2.81582,1.848881,-0.985884
2000-11-07,1.970549,-0.27654,1.46893,-2.336915
2000-11-08,-1.838182,2.727328,0.616337,-0.711372
2000-11-09,-0.246946,-1.578512,-0.653046,-0.681783
2000-11-10,2.206702,-0.611004,2.650963,-2.88559
2000-11-11,-0.166951,-2.28363,-1.329601,2.795571
2000-11-12,-0.864974,-1.994019,-1.179802,-1.050892
2000-11-13,0.726291,-1.783898,-1.342324,-1.078487
2000-11-14,0.389215,2.289269,0.585586,-0.405951
2000-11-15,2.423304,2.847935,-0.098364,-1.53491
2000-11-16,2.206152,1.24228,-1.67743,0.459704
2000-11-17,-0.152058,1.928371,1.913673,-2.825827
2000-11-18,-1.032965,2.535749,-2.655237,2.23777
2000-11-19,1.948156,0.051887,-2.428488,-0.863794
2000-11-20,1.566162,1.306777,-2.593883,2.190797
2000-11-21,2.567397,-1.615677,-1.005872,-2.57554
2000-11-22,-0.302935,2.718032,-1.045558,-2.229681
2000-11-23,-1.254901,-2.553132,-1.132782,-1.50924
2000-11-24,0.454445,2.113011,0.9097,-0.225595
2000-11-25,-2.405325,2.976583,0.742674,-1.734403
2000-11-26,1.150344,2.10331,-1.759487,-0.244431
2000-11-27,2.407465,0.949404,1.335499,-0.57341
2000-11-28,1.742978,-2.576159,1.112345,-0.109991
2000-11-29,0.131072,1.351556,1.34159,-1.203797
2000-11-30,1.776687,-2.108072,2.880746,-0.980946
2000-12-01,-2.129467,-0.214684,2.799833,1.329688
2000-12-02,0.231429,-0.693778,-0.296842,-1.926181
2000-12-03,1.560748,1.495067,0.521951,-1.345836
2000-12-04,0.180255,-0.378624,-1.957333,-0.406041
2000-12-05,-0.541397,1.899574,0.613538,1.61979
2000-12-06,-2.346793,-2.76559,1.83717,1.55148
2000-12-07,2.603258,-0.783572,-1.390289,1.823951
2000-12-08,1.606072,-0.281284,2.607381,-0.809456
2000-12-09,-2.107021,2.264586,1.248832,2.569412
2000-12-10,1.392434,0.841618,-2.722881,-1.905797
2000-12-11,0.927015,-1.969052,-2.592281,-2.782635
2000-12-12,-2.362537,-0.798547,-0.020682,1.188998
2000-12-13,1.260906,1.08692,1.221809,2.396314
2000-12-14,-2.088133,1.320092,-2.378822,-0.101646
2000-12-15,2.223692,2.440875,-2.086325,-2.972274
2000-12-16,0.104455,1.526835,-1.518071,1.155736
2000-12-17,-1.054557,2.912474,2.353375,-2.370595
2000-12-18,-0.108248,-1.530361,0.616609,-2.51154
2000-12-19,-2.256441,-0.385224,-2.125973,-2.142503
2000-12-20,0.203088,1.589594,2.339315,-1.116863
2000-12-21,1.516269,-0.36993,-1.633899,-0.251908
2000-12-22,2.079616,0.394591,-1.440639,0.643666
2000-12-23,1.291766,-1.534634,-1.826199,-0.380655
2000-12-24,-0.174319,2.868131,-1.756217,2.952713
2000-12-25,-2.418572,0.373499,1.817034,-2.904946
2000-12-26,-1.149005,-1.150805,-2.22039,1.347626
2000-12-27,-1.314453,-2.874245,-2.937633,1.210643
2000-12-28,-1.897968,-0.280873,2.509367,0.821713
2000-12-29,-1.399987,-2.678009,0.366424,-2.937534
2000-12-30,0.481108,1.231455,-1.786776,-0.238175
2000-12-31,-1.327616,1.824149,-0.784847,-0.038596
