,Genero,Casado,Age,Graduado,Profesion,Work_Experience,Spending_Score,Family_Size,Categoria_economica
60,1,1,0.013842384563503089,0,3,0,2,5,0
61,0,1,0.01496474006865199,1,1,0,1,3,1
62,1,1,0.017957688082382385,1,1,3,1,5,1
63,0,1,0.02618829512014098,1,0,0,1,2,1
64,1,0,0.011597673553205292,1,1,5,1,2,1
65,0,0,0.011597673553205292,1,6,8,1,1,0
66,0,0,0.01496474006865199,1,1,1,1,1,0
67,0,0,0.007856488536042294,0,2,1,1,3,0
68,1,1,0.01496474006865199,1,1,0,1,2,1
69,1,1,0.019828280590963886,1,1,1,2,3,1
70,1,1,0.01533885857036829,1,3,1,2,3,0
71,0,1,0.011597673553205292,1,1,0,2,2,0
72,0,1,0.018331806584098685,1,1,1,0,5,1
73,1,1,0.02506593961499208,1,3,1,1,2,0
74,1,1,0.01309414756007049,0,1,4,2,2,1
75,0,1,0.01459062156693569,1,8,4,1,2,0
76,1,1,0.023569465608126883,1,4,0,1,2,0
77,1,0,0.01234591055663789,1,2,0,1,2,1
78,0,1,0.02581417661842468,1,6,0,1,2,1
79,1,0,0.013842384563503089,1,1,2,1,1,1
80,1,1,0.010475318048056393,1,6,0,2,2,0
81,0,0,0.010475318048056393,1,1,7,1,3,0
82,1,1,0.016835332577233488,1,1,4,2,4,1
83,1,0,0.009352962542907493,1,8,1,1,4,1
84,0,1,0.02506593961499208,1,0,0,0,2,1
85,0,0,0.014216503065219389,1,1,9,1,1,0
86,0,0,0.011971792054921592,0,8,1,1,5,1
87,0,1,0.020950636096112786,0,0,1,0,4,1
88,0,1,0.009352962542907493,1,8,1,0,4,0
89,1,1,0.013842384563503089,1,4,7,1,2,0
90,1,1,0.016087095573800888,1,1,1,1,2,1
91,1,1,0.01533885857036829,1,1,1,1,2,0
92,0,0,0.007856488536042294,0,6,0,1,5,1
93,1,0,0.014216503065219389,1,2,8,1,1,1
94,0,0,0.011597673553205292,0,6,1,1,4,1
95,0,1,0.03067771714073658,0,0,0,2,2,0
96,1,0,0.014216503065219389,1,1,8,1,3,0
97,1,1,0.006734133030893395,0,3,0,0,4,0
98,0,0,0.009352962542907493,0,5,1,1,7,1
99,1,0,0.02693653212357358,1,1,1,1,1,1
100,1,1,0.01346826606178679,1,4,6,1,6,0
101,1,1,0.01496474006865199,1,1,1,1,2,0
102,1,1,0.016087095573800888,1,1,0,1,2,1
103,0,1,0.01309414756007049,1,1,1,2,2,1
104,1,1,0.024317702611559484,1,0,1,0,2,1
105,0,0,0.01496474006865199,1,1,1,1,1,1
106,0,1,0.02581417661842468,0,6,9,1,3,0
107,1,1,0.010849436549772691,1,7,1,0,2,0
108,1,0,0.011971792054921592,1,1,1,1,2,0
109,1,1,0.022072991601261683,1,1,0,1,1,1
110,1,0,0.009727081044623793,1,8,1,1,2,0
111,1,1,0.01459062156693569,1,3,1,0,3,1
112,0,1,0.016087095573800888,0,6,1,1,3,0
113,1,1,0.009352962542907493,0,2,1,1,2,0
114,1,1,0.01496474006865199,1,1,3,0,3,0
115,0,1,0.01496474006865199,1,4,7,2,2,1
116,0,1,0.032174191147601776,1,0,0,0,2,1
117,0,1,0.02618829512014098,0,2,0,2,2,1
118,0,1,0.019828280590963886,0,6,8,2,4,1
119,1,1,0.016087095573800888,0,3,0,0,4,0
120,1,1,0.01346826606178679,0,2,6,1,3,0
121,0,0,0.013842384563503089,1,1,5,1,2,1
122,0,0,0.008230607037758594,0,7,0,1,1,1
123,1,1,0.02618829512014098,1,6,4,0,2,1
124,1,1,0.033296546652750676,1,0,13,1,1,0
125,0,0,0.016835332577233488,1,1,4,1,1,0
126,0,0,0.01309414756007049,1,1,3,1,1,0
127,0,1,0.01459062156693569,0,6,4,2,2,1
128,0,1,0.021698873099545383,1,6,0,2,4,1
129,0,0,0.01346826606178679,1,4,10,1,2,0
130,0,0,0.011223555051488992,0,8,8,1,3,0
131,1,0,0.010101199546340093,1,8,0,1,2,0
132,0,0,0.014216503065219389,1,2,14,1,1,0
133,1,0,0.010849436549772691,1,1,3,1,1,1
134,1,1,0.019080043587531285,0,4,1,2,4,1
135,1,1,0.020576517594396486,0,1,0,1,1,0
136,0,1,0.02581417661842468,1,6,1,1,1,0
137,0,1,0.031051835642452875,1,0,0,1,3,0
138,1,1,0.01309414756007049,1,1,9,1,1,0
139,0,0,0.010849436549772691,0,8,1,1,3,1
140,1,0,0.01346826606178679,1,6,8,1,1,0
141,1,0,0.0071082515326096945,0,7,0,1,5,0
142,0,1,0.007482370034325995,1,0,1,2,3,0
143,1,0,0.016087095573800888,1,4,1,1,2,0
144,0,1,0.018705925085814985,1,6,4,0,3,1
145,1,0,0.009352962542907493,1,4,1,1,2,0
146,1,1,0.022821228604694283,0,1,1,0,2,1
147,0,1,0.010475318048056393,1,8,0,2,2,0
148,1,0,0.009352962542907493,0,3,12,1,3,0
149,0,0,0.010101199546340093,1,1,8,1,1,1
150,1,0,0.01346826606178679,1,1,8,1,1,0
151,0,0,0.01309414756007049,0,1,5,1,1,0
152,1,1,0.01234591055663789,0,6,0,2,2,1
153,0,0,0.009352962542907493,1,1,0,1,6,0
154,0,1,0.010101199546340093,1,1,0,2,2,1
155,1,1,0.01309414756007049,1,1,1,0,3,0
156,0,1,0.01720945107894979,0,1,8,2,2,1
157,0,0,0.009727081044623793,1,1,9,1,1,0
158,1,1,0.016087095573800888,1,2,13,0,2,1
159,0,1,0.011223555051488992,1,1,8,1,4,0
160,0,1,0.015712977072084588,0,5,6,0,4,1
161,0,1,0.013842384563503089,1,4,6,2,3,0
162,0,1,0.01496474006865199,1,6,1,0,5,1
163,1,1,0.01758356958066609,1,1,0,2,6,1
164,1,1,0.01720945107894979,1,4,0,2,3,1
165,1,1,0.032174191147601776,1,0,0,1,1,1
166,1,1,0.02469182111327578,1,1,0,0,2,1
167,0,1,0.02731065062528988,1,0,1,0,2,1
168,1,1,0.02693653212357358,0,6,1,1,1,0
169,1,1,0.019828280590963886,1,1,0,1,3,1
170,0,0,0.011223555051488992,1,4,0,1,4,1
171,1,1,0.009727081044623793,1,1,1,2,3,1
172,0,1,0.018705925085814985,1,4,7,1,3,0
173,0,0,0.023195347106410583,0,4,2,1,1,0
174,0,0,0.010101199546340093,1,2,1,1,3,0
175,0,1,0.011223555051488992,0,6,1,2,7,0
176,1,0,0.011971792054921592,0,8,7,1,4,0
177,1,0,0.01758356958066609,0,1,3,1,3,1
178,0,0,0.011971792054921592,1,1,4,1,4,0
179,0,1,0.011971792054921592,0,6,5,1,3,0
180,1,1,0.02506593961499208,1,2,1,2,4,1
181,1,0,0.011597673553205292,0,4,1,1,1,0
182,1,1,0.015712977072084588,1,1,0,1,3,0
183,0,1,0.02693653212357358,0,0,1,1,3,0
184,0,0,0.01496474006865199,0,6,9,1,5,0
185,0,0,0.01346826606178679,1,6,4,1,1,0
186,0,0,0.010849436549772691,1,8,2,1,4,1
187,0,0,0.020576517594396486,1,7,3,1,1,1
188,1,0,0.010475318048056393,0,8,0,1,2,0
189,1,0,0.014216503065219389,0,1,2,1,2,0
190,1,1,0.015712977072084588,0,4,1,1,2,1
191,1,1,0.015712977072084588,0,7,0,0,6,0
192,1,0,0.011971792054921592,1,2,0,1,4,0
193,0,0,0.011971792054921592,1,8,0,1,3,0
194,1,1,0.013842384563503089,1,8,1,0,4,1
195,1,1,0.01758356958066609,0,1,0,0,4,1
196,0,1,0.02544005811670838,1,0,0,0,2,0
197,0,1,0.017957688082382385,1,4,2,1,1,0
198,0,1,0.01309414756007049,1,1,1,1,2,0
199,1,1,0.01720945107894979,0,1,0,1,3,0
200,0,1,0.014216503065219389,1,1,9,0,2,1
201,0,0,0.010475318048056393,1,1,3,1,7,0
202,0,1,0.02544005811670838,1,0,3,1,1,0
203,1,0,0.010475318048056393,0,4,1,1,2,0
204,0,0,0.011971792054921592,0,8,12,1,3,0
205,1,0,0.011223555051488992,1,2,1,1,1,1
206,0,0,0.01234591055663789,1,8,0,1,3,0
207,0,1,0.021324754597829083,1,2,1,1,2,0
208,0,1,0.013842384563503089,1,4,0,2,2,1
209,1,0,0.01346826606178679,1,7,0,1,1,0
210,0,0,0.010849436549772691,1,8,9,1,3,0
211,1,0,0.022821228604694283,1,1,0,1,1,1
212,1,1,0.019454162089247586,1,4,1,2,4,0
213,0,1,0.018331806584098685,1,5,14,1,1,0
214,1,1,0.015712977072084588,0,4,1,1,3,0
215,0,0,0.01234591055663789,1,8,8,1,1,0
216,1,1,0.01309414756007049,0,1,9,2,3,1
217,0,0,0.015712977072084588,1,2,0,1,1,0
218,1,0,0.01459062156693569,1,1,0,1,3,1
219,0,0,0.010475318048056393,0,2,14,1,1,0
220,0,1,0.022821228604694283,1,2,1,2,2,1
221,1,1,0.016835332577233488,1,2,1,2,2,0
222,0,1,0.009727081044623793,1,6,9,1,2,1
223,1,1,0.016087095573800888,0,3,0,0,4,1
224,0,0,0.013842384563503089,1,1,3,1,1,1
225,0,0,0.01459062156693569,0,6,0,1,3,0
226,0,0,0.014216503065219389,0,5,5,1,1,1
227,1,0,0.021324754597829083,1,7,1,1,4,0
228,1,0,0.01459062156693569,1,1,0,1,1,0
229,0,0,0.011223555051488992,0,6,0,1,4,0
230,0,1,0.016087095573800888,0,1,0,2,3,0
231,1,1,0.016087095573800888,0,1,1,1,2,1
232,0,0,0.011223555051488992,0,6,0,1,1,1
233,0,0,0.014216503065219389,1,6,8,1,4,0
234,1,1,0.02469182111327578,1,1,1,1,3,0
235,1,1,0.021324754597829083,1,4,8,2,5,0
236,0,0,0.01234591055663789,0,2,0,1,1,0
237,1,1,0.011223555051488992,1,8,1,1,2,0
238,0,0,0.016087095573800888,1,1,2,1,4,1
239,1,0,0.01459062156693569,1,4,5,1,1,0
240,1,1,0.010101199546340093,0,4,0,2,4,0
241,0,1,0.022447110102977983,0,4,9,1,4,1
242,1,1,0.016835332577233488,1,4,4,2,3,1
243,1,1,0.019080043587531285,1,1,8,1,5,0
244,0,1,0.016835332577233488,1,1,5,2,2,1
245,0,1,0.017957688082382385,1,1,1,1,1,0
246,1,1,0.020576517594396486,1,4,1,1,2,0
247,1,1,0.02544005811670838,1,0,0,0,2,1
248,1,1,0.028058887628722478,0,0,1,0,2,1
249,0,0,0.011223555051488992,1,1,0,1,3,0
250,0,1,0.01533885857036829,1,1,0,1,4,0
251,0,1,0.01309414756007049,0,8,2,1,1,0
252,0,0,0.009727081044623793,0,7,3,1,3,0
253,0,0,0.009352962542907493,1,8,1,1,3,1
254,0,1,0.02731065062528988,1,0,1,1,1,1
255,1,1,0.01720945107894979,0,4,0,2,3,0
256,1,1,0.009352962542907493,1,3,1,0,2,0
257,1,0,0.010101199546340093,1,7,1,1,2,0
258,1,1,0.032548309649318076,0,3,1,1,2,0
259,0,1,0.01758356958066609,1,1,0,1,1,0
260,1,1,0.022447110102977983,1,1,0,2,4,0
261,1,1,0.02581417661842468,1,1,0,2,3,0
262,0,1,0.014216503065219389,1,2,1,2,4,1
263,1,1,0.009727081044623793,1,2,1,2,2,0
264,1,1,0.009727081044623793,1,4,0,2,3,0
265,0,0,0.013842384563503089,1,1,12,1,2,0
266,1,1,0.015712977072084588,0,4,0,2,4,0
267,1,0,0.011971792054921592,0,8,0,1,3,0
268,0,0,0.02506593961499208,0,1,1,1,2,1
269,1,1,0.032922428151034376,0,3,0,1,1,0
270,1,1,0.022821228604694283,1,4,7,0,5,1
271,0,1,0.009352962542907493,0,6,0,2,2,0
272,1,0,0.01309414756007049,1,1,6,1,3,1
273,0,1,0.019828280590963886,0,5,2,0,3,1
274,1,1,0.01720945107894979,0,1,0,1,2,1
275,0,0,0.013842384563503089,0,1,1,1,1,1
276,1,1,0.009352962542907493,1,4,8,2,2,0
277,1,1,0.016087095573800888,0,2,0,1,2,0
278,0,0,0.01346826606178679,1,4,7,1,1,0
279,1,1,0.031800072645885476,1,1,1,0,4,0
280,1,1,0.016087095573800888,1,8,7,0,2,0
281,1,1,0.03067771714073658,0,3,1,0,2,1
282,1,1,0.019828280590963886,1,6,1,1,2,0
283,1,1,0.018705925085814985,1,1,0,2,4,1
284,0,1,0.01309414756007049,0,6,2,2,6,1
285,0,0,0.01234591055663789,1,6,1,1,3,0
286,1,1,0.017957688082382385,1,4,0,2,4,1
287,0,1,0.032922428151034376,0,0,0,0,2,1
288,1,1,0.022821228604694283,1,1,1,1,2,1
289,0,1,0.019080043587531285,0,6,1,2,5,1
290,1,0,0.015712977072084588,1,1,6,1,2,1
291,0,0,0.016835332577233488,1,8,4,1,1,0
292,0,1,0.031800072645885476,1,0,0,0,2,0
293,1,1,0.01720945107894979,1,2,1,2,4,1
294,0,1,0.011971792054921592,1,1,0,2,2,1
295,0,0,0.011223555051488992,0,7,1,1,4,1
296,0,0,0.01234591055663789,1,6,1,1,2,0
297,1,1,0.011971792054921592,1,4,6,1,2,1
298,1,1,0.019454162089247586,1,1,0,0,2,1
299,0,1,0.015712977072084588,0,4,0,2,3,1
300,1,1,0.01758356958066609,1,1,3,2,2,1
301,1,1,0.019454162089247586,1,4,1,2,3,1
302,0,1,0.020950636096112786,1,1,0,2,5,1
303,0,1,0.019828280590963886,0,6,7,2,6,0
304,0,1,0.016835332577233488,1,1,1,2,4,1
305,0,1,0.016835332577233488,1,1,1,2,2,1
306,1,0,0.01309414756007049,1,4,1,1,3,0
307,0,1,0.02693653212357358,1,0,1,0,2,1
308,1,1,0.01758356958066609,0,4,4,2,3,1
309,0,1,0.02731065062528988,1,0,1,1,2,1
310,1,1,0.022072991601261683,1,1,4,1,1,1
311,0,0,0.022072991601261683,1,4,1,1,1,0
312,1,1,0.01309414756007049,0,3,0,0,5,0
313,1,1,0.016087095573800888,1,2,1,1,4,0
314,1,0,0.01533885857036829,1,4,1,1,2,0
315,0,0,0.011971792054921592,1,4,1,1,3,0
316,0,0,0.013842384563503089,1,1,9,1,1,0
317,1,1,0.019080043587531285,0,1,0,1,3,0
318,1,0,0.01459062156693569,0,6,1,1,1,0
319,0,1,0.018705925085814985,1,3,4,0,3,1
320,0,1,0.018705925085814985,1,2,1,2,3,1
321,1,1,0.019828280590963886,1,2,14,2,2,1
322,0,1,0.009727081044623793,1,1,12,2,2,1
323,0,1,0.024317702611559484,1,0,0,0,3,1
324,1,1,0.02731065062528988,0,3,1,1,1,1
325,0,1,0.018705925085814985,1,1,1,2,3,1
326,1,1,0.02618829512014098,1,0,0,1,1,0
327,0,0,0.01496474006865199,1,0,4,1,1,1
328,0,0,0.018331806584098685,1,7,0,1,5,0
329,1,0,0.01309414756007049,1,1,8,1,1,0
330,0,1,0.01496474006865199,1,6,0,1,2,1
331,0,0,0.01309414756007049,1,1,5,1,1,0
332,1,0,0.01459062156693569,1,4,1,1,8,0
333,0,0,0.016835332577233488,1,1,2,1,1,1
334,1,1,0.016835332577233488,0,4,10,2,4,1
335,0,0,0.016835332577233488,1,1,1,1,1,0
336,1,1,0.01758356958066609,0,3,0,1,7,0
337,1,1,0.01533885857036829,0,3,6,0,3,0
338,0,1,0.018705925085814985,1,1,9,2,4,0
339,0,1,0.023195347106410583,1,6,1,1,1,1
340,0,1,0.01346826606178679,1,1,5,1,2,1
341,0,0,0.016835332577233488,0,4,8,1,2,0
342,0,1,0.027684769127006178,1,0,1,0,2,1
343,0,1,0.02618829512014098,1,0,1,0,2,1
344,1,0,0.019454162089247586,1,1,1,1,3,1
345,0,1,0.01496474006865199,0,6,0,1,3,0
346,0,1,0.019828280590963886,1,1,1,1,2,0
347,0,0,0.011971792054921592,1,1,9,1,1,0
348,0,0,0.02618829512014098,1,1,0,1,2,1
349,1,0,0.017957688082382385,1,6,0,1,1,0
350,1,1,0.023195347106410583,1,1,0,1,1,1
351,1,1,0.01533885857036829,0,1,1,2,6,1
352,0,1,0.020950636096112786,1,4,1,2,3,1
353,1,1,0.01309414756007049,1,1,1,2,2,1
354,0,0,0.01309414756007049,0,6,1,1,1,0
355,1,0,0.015712977072084588,1,1,1,1,2,0
356,1,0,0.01309414756007049,1,1,5,1,2,0
357,0,0,0.010101199546340093,0,8,0,1,3,0
358,1,1,0.03067771714073658,1,0,1,0,2,0
359,1,1,0.016087095573800888,1,1,6,2,3,1
360,0,0,0.010849436549772691,0,7,9,1,4,0
361,0,0,0.014216503065219389,1,1,9,1,1,1
362,1,1,0.01459062156693569,1,4,0,2,4,0
363,0,0,0.016087095573800888,1,1,0,1,1,0
364,1,0,0.019080043587531285,0,4,1,1,1,0
365,0,1,0.02918124313387138,0,0,1,0,2,1
366,1,1,0.01720945107894979,1,1,1,1,1,0
367,1,0,0.009727081044623793,0,8,0,1,7,0
368,0,0,0.01234591055663789,1,7,1,1,3,1
369,0,1,0.021324754597829083,0,6,0,1,1,1
370,1,0,0.01309414756007049,1,4,0,1,3,0
371,0,0,0.009727081044623793,1,1,1,1,3,0
372,1,0,0.011597673553205292,1,2,1,1,2,0
373,0,1,0.020950636096112786,1,6,2,0,2,1
374,1,1,0.02544005811670838,0,3,1,0,2,1
375,1,1,0.009352962542907493,1,4,1,2,2,0
376,0,1,0.01346826606178679,1,4,0,2,3,1
377,1,0,0.009352962542907493,0,3,3,1,1,0
378,1,1,0.02469182111327578,1,3,1,1,2,0
379,0,0,0.015712977072084588,1,1,1,1,2,0
380,0,1,0.01346826606178679,1,2,13,1,2,1
381,1,1,0.021698873099545383,0,1,9,1,2,1
382,0,0,0.01346826606178679,0,6,0,1,1,0
383,0,1,0.01309414756007049,0,4,10,1,2,0
384,1,1,0.018331806584098685,1,4,0,1,1,0
385,0,0,0.019080043587531285,1,4,0,1,1,0
386,1,0,0.01496474006865199,1,1,5,1,2,0
387,1,0,0.013842384563503089,1,1,9,1,1,0
388,1,1,0.019454162089247586,1,4,1,2,4,1
389,1,1,0.022447110102977983,1,1,1,1,1,1
390,1,1,0.016087095573800888,1,3,7,0,3,1
391,1,1,0.013842384563503089,1,4,4,1,1,1
392,1,1,0.022072991601261683,1,4,1,2,3,1
393,0,1,0.022447110102977983,1,1,2,1,3,1
394,0,1,0.016087095573800888,1,1,2,2,3,1
395,0,1,0.01346826606178679,0,1,1,2,4,1
396,0,0,0.020576517594396486,1,4,1,1,1,0
397,0,1,0.022072991601261683,1,6,0,1,1,1
398,1,1,0.023195347106410583,1,1,1,2,3,1
399,1,1,0.02731065062528988,0,3,0,0,3,0
400,1,0,0.009352962542907493,0,7,0,1,2,0
401,1,1,0.022821228604694283,1,4,11,2,3,0
402,1,1,0.011597673553205292,1,4,8,2,2,1
403,1,0,0.01496474006865199,1,1,1,1,4,0
404,1,0,0.010101199546340093,1,1,1,1,3,1
405,0,0,0.022447110102977983,1,1,6,1,1,1
406,1,1,0.01496474006865199,1,8,6,0,2,0
407,1,1,0.011971792054921592,0,4,5,1,2,0
408,0,1,0.015712977072084588,1,6,1,1,2,1
409,1,0,0.010101199546340093,1,1,9,1,2,1
410,1,0,0.016087095573800888,1,4,0,1,5,0
411,1,1,0.023195347106410583,0,4,1,2,6,1
412,1,1,0.009352962542907493,1,1,8,2,2,1
413,0,0,0.010101199546340093,1,2,1,1,4,1
414,0,1,0.01496474006865199,1,1,0,1,2,1
415,1,1,0.016835332577233488,1,3,0,0,4,1
416,1,1,0.02618829512014098,0,7,1,1,2,0
417,1,1,0.009352962542907493,0,4,2,1,2,0
418,1,1,0.015712977072084588,0,4,0,1,3,0
419,0,1,0.01720945107894979,1,1,1,2,2,0
420,0,1,0.028433006130438778,1,0,1,0,2,1
421,0,1,0.01533885857036829,1,6,1,2,3,1
422,1,1,0.020576517594396486,0,1,0,1,2,1
423,0,1,0.018705925085814985,1,2,1,1,3,1
424,0,1,0.031425954144169176,1,1,1,0,2,0
425,0,1,0.023569465608126883,1,4,0,2,4,1
426,1,1,0.011597673553205292,0,6,5,2,3,0
427,0,1,0.023195347106410583,1,1,1,0,2,1
428,0,1,0.010475318048056393,0,6,6,1,3,0
429,0,0,0.01496474006865199,1,6,9,1,2,1
430,1,0,0.01533885857036829,1,1,4,1,1,0
431,1,1,0.02918124313387138,0,0,1,0,2,0
432,0,0,0.016087095573800888,1,6,0,1,1,0
433,0,0,0.010101199546340093,1,6,11,1,1,1
434,1,1,0.018331806584098685,1,4,1,2,3,0
435,0,1,0.016087095573800888,1,1,5,0,3,1
436,1,1,0.02693653212357358,1,4,7,1,2,0
437,1,1,0.014216503065219389,0,3,5,0,3,0
438,1,1,0.022447110102977983,1,0,9,1,2,1
439,0,1,0.02955536163558768,0,0,1,0,3,0
440,1,1,0.02731065062528988,0,5,2,1,1,0
441,1,1,0.015712977072084588,0,7,1,1,3,0
442,1,1,0.02693653212357358,0,0,0,0,2,1
443,1,1,0.019828280590963886,1,3,1,2,4,1
444,0,0,0.009352962542907493,0,8,1,1,5,1
445,0,0,0.022447110102977983,1,6,1,1,1,0
446,0,0,0.011223555051488992,0,1,7,1,1,0
447,1,1,0.01459062156693569,1,1,9,1,1,0
448,0,0,0.020950636096112786,1,1,0,1,1,0
449,0,1,0.02656241362185728,0,6,1,0,4,0
450,0,1,0.02618829512014098,1,4,1,0,2,1
451,1,1,0.031425954144169176,0,0,1,1,1,0
452,1,1,0.015712977072084588,1,1,6,1,4,0
453,1,1,0.01720945107894979,1,1,4,1,2,1
454,1,1,0.023569465608126883,0,3,0,2,3,1
455,1,1,0.015712977072084588,1,6,1,1,2,0
456,1,1,0.016087095573800888,1,1,5,2,2,1
457,1,1,0.011223555051488992,0,2,11,2,2,0
458,0,1,0.01346826606178679,0,4,1,0,3,0
459,1,1,0.023569465608126883,1,4,1,1,1,0
460,0,0,0.011597673553205292,1,1,9,1,2,1
461,1,1,0.013842384563503089,0,2,4,2,2,0
462,1,1,0.013842384563503089,0,4,0,1,5,0
463,0,0,0.020576517594396486,1,1,1,1,1,0
464,1,1,0.015712977072084588,1,3,9,0,6,1
465,1,0,0.023569465608126883,1,1,0,1,1,0
466,1,1,0.019454162089247586,1,4,0,1,4,1
467,1,1,0.015712977072084588,1,8,0,2,4,1
468,1,1,0.01720945107894979,1,2,1,2,6,1
469,0,0,0.015712977072084588,1,1,8,1,1,1
470,0,1,0.033296546652750676,0,0,0,0,2,1
471,0,1,0.014216503065219389,0,4,4,1,1,1
472,0,1,0.019080043587531285,1,1,3,1,4,1
473,0,1,0.024317702611559484,1,0,1,2,2,1
474,0,0,0.01346826606178679,0,1,0,1,1,1
475,0,0,0.009352962542907493,1,8,0,1,3,1
476,1,1,0.016087095573800888,1,3,0,0,4,1
477,0,0,0.009352962542907493,1,6,8,1,2,0
478,0,0,0.011597673553205292,1,1,9,1,1,1
479,0,0,0.01234591055663789,1,4,11,1,3,0
480,1,1,0.01309414756007049,1,1,1,2,2,0
481,1,1,0.016835332577233488,0,3,1,2,4,1
482,0,1,0.01758356958066609,0,5,3,0,3,1
483,0,0,0.01234591055663789,1,2,9,1,2,0
484,1,0,0.032548309649318076,0,0,1,1,1,0
485,0,1,0.01234591055663789,0,4,1,1,2,0
486,0,1,0.013842384563503089,1,2,0,1,2,0
487,0,0,0.010849436549772691,0,6,0,1,5,0
488,0,1,0.02544005811670838,0,6,0,1,1,0
489,1,1,0.032174191147601776,1,0,1,0,2,0
490,1,1,0.018331806584098685,1,1,0,1,3,1
491,1,1,0.031051835642452875,0,0,1,1,1,0
492,0,0,0.023569465608126883,1,1,14,1,1,1
493,0,1,0.01720945107894979,1,1,8,1,2,1
494,0,1,0.021324754597829083,1,2,0,1,7,1
495,0,1,0.018331806584098685,0,6,6,1,2,0
496,0,0,0.011597673553205292,1,6,0,1,1,0
497,1,1,0.014216503065219389,1,1,0,2,4,1
498,1,1,0.022072991601261683,0,6,0,1,1,0
499,0,1,0.010101199546340093,1,4,3,1,5,1
500,1,0,0.022072991601261683,0,4,0,1,3,1
501,0,0,0.013842384563503089,1,1,12,1,1,0
502,1,1,0.011223555051488992,0,1,0,2,2,0
503,1,1,0.016087095573800888,1,4,0,2,2,1
504,0,0,0.01496474006865199,1,1,6,1,2,1
505,0,1,0.01496474006865199,1,1,9,2,2,1
506,0,1,0.02469182111327578,1,0,1,0,2,0
507,1,1,0.018705925085814985,1,1,1,2,3,0
508,1,0,0.010475318048056393,1,2,1,1,3,0
509,1,1,0.022072991601261683,1,1,1,2,2,1
510,1,1,0.023195347106410583,1,1,1,1,4,1
511,0,0,0.010475318048056393,1,4,6,1,3,1
512,1,1,0.01346826606178679,1,4,0,1,2,0
513,0,0,0.01234591055663789,1,8,2,1,2,0
