,ID,Genero,Casado,Age,Graduado,Profesion,Work_Experience,Spending_Score,Family_Size,Categoria_economica
236,462410,Femenino,No,32,No,Personal de salud,1.0,Bajo,5.0,B
238,459756,Femenino,Si,56,No,Abogado,1.0,Alto,4.0,B
242,465693,Femenino,Si,25,Si,Personal de salud,1.0,Alto,4.0,A
245,461550,Masculino,Si,37,Si,Entretenimiento,7.0,Bajo,2.0,A
247,460704,Masculino,Si,43,Si,Artista,1.0,Bajo,2.0,B
248,464884,Masculino,Si,41,Si,Artista,1.0,Bajo,2.0,A
249,467050,Femenino,No,21,No,Ingeniero,0.0,Bajo,5.0,B
250,460738,Femenino,No,49,No,Ingeniero,1.0,Bajo,,A
251,466176,Masculino,No,38,Si,Doctor,8.0,Bajo,1.0,B
252,459488,Masculino,Si,47,No,Artista,,Promedio,4.0,A
254,465425,Femenino,No,31,No,Ingeniero,1.0,Bajo,4.0,B
255,462318,Femenino,Si,82,No,Abogado,0.0,Promedio,2.0,A
256,466078,Femenino,Si,51,No,Ejecutivo,,Bajo,1.0,A
257,460792,Femenino,No,42,No,Homemaker,11.0,Bajo,,A
258,460197,Masculino,No,38,Si,Artista,8.0,Bajo,3.0,A
259,459375,Masculino,Si,18,No,Ejecutivo,0.0,Alto,4.0,A
261,460144,Femenino,No,46,Si,Doctor,1.0,Bajo,,A
264,465809,Femenino,No,25,No,Homemaker,1.0,Bajo,7.0,B
266,467343,Masculino,No,72,Si,Artista,1.0,Bajo,1.0,B
268,464868,Masculino,Si,36,Si,Entretenimiento,6.0,Bajo,6.0,A
269,464038,Masculino,Si,40,Si,Artista,1.0,Bajo,2.0,A
273,464893,Masculino,Si,43,Si,Artista,0.0,Bajo,2.0,B
274,464443,Femenino,Si,35,Si,Artista,1.0,Promedio,2.0,B
275,467619,Masculino,Si,65,Si,Abogado,1.0,Alto,2.0,B
277,462075,Femenino,No,40,Si,Artista,1.0,Bajo,1.0,B
278,459494,Femenino,Si,69,No,Ingeniero,9.0,Bajo,3.0,A
281,461167,Masculino,Si,29,Si,Marketing,1.0,Alto,2.0,A
283,462408,Masculino,No,32,Si,Artista,1.0,Bajo,2.0,A
285,465151,Masculino,Si,59,Si,Artista,0.0,Bajo,1.0,B
287,460586,Masculino,No,26,Si,Personal de salud,1.0,Bajo,2.0,A
290,465058,Femenino,No,43,,Entretenimiento,,Bajo,1.0,B
295,466523,Masculino,Si,39,Si,Ejecutivo,1.0,Alto,3.0,B
296,465337,Femenino,Si,43,No,Ingeniero,1.0,Bajo,3.0,A
297,460834,Masculino,Si,25,No,Doctor,1.0,Bajo,2.0,A
298,466824,Masculino,Si,40,Si,Artista,3.0,Alto,3.0,A
299,461607,Femenino,Si,40,Si,Entretenimiento,7.0,Promedio,2.0,B
304,464075,Femenino,Si,86,Si,Abogado,0.0,Alto,2.0,B
305,463394,Masculino,Si,41,Si,Marketing,,Alto,2.0,B
307,463895,Femenino,Si,70,No,Doctor,0.0,Promedio,2.0,B
308,464767,Femenino,Si,53,No,Ingeniero,8.0,Promedio,4.0,B
309,464763,Femenino,Si,49,No,Ingeniero,,Promedio,4.0,B
312,466374,Masculino,Si,83,No,Abogado,,Bajo,1.0,B
313,463738,Masculino,Si,43,No,Ejecutivo,0.0,Alto,4.0,A
314,465967,Masculino,Si,36,No,Doctor,6.0,Bajo,3.0,A
317,466573,Femenino,No,37,Si,Artista,5.0,Bajo,2.0,B
318,463229,Femenino,No,22,No,Marketing,0.0,Bajo,1.0,B
320,462541,Masculino,Si,70,Si,Ingeniero,4.0,Alto,2.0,B
321,467714,Masculino,Si,89,Si,Abogado,13.0,Bajo,1.0,A
324,460093,Femenino,No,45,Si,Artista,4.0,Bajo,1.0,A
325,467865,Femenino,No,35,Si,Artista,3.0,Bajo,1.0,A
327,464184,Femenino,Si,39,No,Ingeniero,4.0,Promedio,2.0,B
330,465432,Femenino,Si,58,Si,Ingeniero,0.0,Promedio,4.0,B
334,465842,Femenino,No,36,Si,Entretenimiento,10.0,Bajo,2.0,A
335,464622,Femenino,No,30,No,Personal de salud,8.0,Bajo,3.0,A
337,460910,Masculino,No,27,Si,Personal de salud,0.0,Bajo,2.0,A
338,460255,Femenino,No,38,Si,Doctor,14.0,Bajo,1.0,A
340,464306,Masculino,No,29,Si,Artista,3.0,Bajo,1.0,B
341,466835,Masculino,Si,51,No,Entretenimiento,1.0,Promedio,4.0,B
342,465192,Masculino,Si,55,No,Artista,0.0,Bajo,1.0,A
343,463380,Femenino,Si,69,Si,Ingeniero,1.0,Bajo,1.0,A
345,467086,Femenino,Si,83,Si,Abogado,0.0,Bajo,3.0,A
347,460752,Masculino,Si,35,Si,Artista,9.0,Bajo,1.0,A
351,465277,Femenino,No,53,Si,Ingeniero,,Bajo,1.0,B
352,467426,Femenino,Si,86,No,Abogado,,Bajo,,B
353,466258,Femenino,No,29,No,Personal de salud,1.0,Bajo,3.0,B
355,460032,Masculino,No,36,Si,Ingeniero,8.0,Bajo,1.0,A
357,466610,Masculino,No,19,No,Marketing,0.0,Bajo,5.0,A
358,459036,Femenino,Si,20,Si,Abogado,1.0,Promedio,3.0,A
360,459496,Femenino,No,42,Si,Artista,,Bajo,3.0,A
361,459997,Masculino,No,43,Si,Entretenimiento,1.0,Bajo,2.0,A
362,463382,Femenino,Si,50,Si,Ingeniero,4.0,Alto,3.0,B
363,460967,Masculino,No,25,Si,Entretenimiento,1.0,Bajo,2.0,A
364,465094,Masculino,Si,61,No,Artista,1.0,Alto,2.0,B
365,461229,Femenino,Si,28,Si,Personal de salud,0.0,Promedio,2.0,A
367,464527,Masculino,No,25,No,Ejecutivo,12.0,Bajo,3.0,A
370,467207,Femenino,No,27,Si,Artista,8.0,Bajo,1.0,B
375,462124,Masculino,No,36,Si,Artista,8.0,Bajo,1.0,A
380,460331,Femenino,No,35,No,Artista,5.0,Bajo,1.0,A
381,461494,Masculino,Si,33,No,Ingeniero,0.0,Promedio,2.0,B
382,460035,Femenino,No,25,Si,Artista,0.0,Bajo,6.0,A
383,463812,Femenino,Si,27,Si,Artista,0.0,Promedio,2.0,B
384,465569,Masculino,Si,35,Si,Artista,1.0,Alto,3.0,A
387,462723,Femenino,Si,46,No,Artista,8.0,Promedio,2.0,B
390,462404,Femenino,No,26,Si,Artista,9.0,Bajo,1.0,A
391,461799,Masculino,Si,43,Si,Doctor,13.0,Alto,2.0,B
392,459933,Femenino,Si,30,Si,Artista,8.0,Bajo,4.0,A
396,462769,Femenino,Si,42,No,Homemaker,6.0,Alto,4.0,B
397,465532,Femenino,Si,37,Si,Entretenimiento,6.0,Promedio,3.0,A
404,462714,Femenino,Si,40,Si,Ingeniero,1.0,Alto,5.0,B
405,466890,Masculino,Si,47,Si,Artista,0.0,Promedio,6.0,B
406,462888,Masculino,Si,39,Si,Ejecutivo,,Alto,3.0,B
410,460873,Masculino,Si,46,Si,Entretenimiento,0.0,Promedio,3.0,B
411,466776,Masculino,Si,86,Si,Abogado,0.0,Bajo,1.0,B
412,459462,Masculino,Si,66,Si,Artista,0.0,Alto,2.0,B
414,462348,Femenino,Si,73,Si,Abogado,1.0,Alto,2.0,B
415,460941,Masculino,Si,72,No,Ingeniero,1.0,Bajo,1.0,A
416,461629,Masculino,Si,53,Si,Artista,0.0,Bajo,3.0,B
419,460916,Masculino,Si,63,No,Entretenimiento,1.0,Promedio,,B
421,465444,Femenino,No,30,Si,Entretenimiento,0.0,Bajo,4.0,B
423,466412,Masculino,Si,26,Si,Artista,1.0,Promedio,3.0,B
424,459480,Femenino,Si,50,Si,Entretenimiento,7.0,Bajo,3.0,A
426,460216,Femenino,No,62,No,Entretenimiento,2.0,Bajo,1.0,A
427,467941,Femenino,No,27,Si,Doctor,1.0,Bajo,3.0,A
428,466090,Masculino,Si,57,Si,Entretenimiento,1.0,Bajo,,A
429,462572,Femenino,Si,30,No,Ingeniero,1.0,Promedio,7.0,A
430,467443,Masculino,No,32,No,Personal de salud,7.0,Bajo,4.0,A
431,462548,Masculino,No,18,,Ejecutivo,,Bajo,5.0,A
432,459701,Masculino,No,47,No,Artista,3.0,Bajo,3.0,B
433,461139,Femenino,No,32,Si,Artista,4.0,Bajo,4.0,A
434,461115,Femenino,Si,32,No,Ingeniero,5.0,Bajo,3.0,A
435,459027,Masculino,Si,67,Si,Doctor,1.0,Promedio,4.0,B
438,460857,Masculino,No,31,No,Entretenimiento,1.0,Bajo,1.0,A
439,464300,Masculino,Si,42,Si,Artista,0.0,Bajo,3.0,A
443,461546,Femenino,Si,72,No,Abogado,1.0,Bajo,3.0,A
444,467780,Masculino,Si,47,Si,Artista,,Bajo,3.0,A
446,464684,Femenino,No,40,No,Ingeniero,9.0,Bajo,5.0,A
447,462276,Femenino,No,36,Si,Ingeniero,4.0,Bajo,1.0,A
448,462142,Femenino,No,42,Si,Artista,,Bajo,1.0,B
450,466463,Femenino,No,29,Si,Personal de salud,2.0,Bajo,4.0,B
458,464126,Femenino,No,55,Si,Marketing,3.0,Bajo,1.0,B
461,460163,Masculino,No,28,No,Personal de salud,0.0,Bajo,2.0,A
462,461958,Masculino,No,38,No,Artista,2.0,Bajo,2.0,A
463,464875,Masculino,Si,42,No,Entretenimiento,1.0,Bajo,2.0,B
464,464791,Masculino,Si,42,No,Marketing,0.0,Alto,6.0,A
466,463531,Masculino,No,32,Si,Doctor,0.0,Bajo,4.0,A
472,461595,Femenino,No,32,Si,Personal de salud,0.0,Bajo,3.0,A
474,462772,Masculino,Si,37,Si,Personal de salud,1.0,Alto,4.0,B
476,459143,Masculino,Si,47,No,Artista,0.0,Alto,4.0,B
477,464532,Femenino,Si,68,Si,Abogado,0.0,Alto,2.0,A
479,466761,Femenino,Si,48,Si,Entretenimiento,2.0,Bajo,1.0,A
486,461766,Femenino,Si,35,Si,Artista,1.0,Bajo,2.0,A
487,464938,Masculino,Si,46,No,Artista,0.0,Bajo,3.0,A
488,462034,Femenino,Si,38,Si,Artista,9.0,Alto,2.0,B
490,467925,Femenino,No,28,Si,Artista,3.0,Bajo,7.0,A
491,463711,Femenino,Si,68,Si,Abogado,3.0,Bajo,1.0,A
494,463249,Masculino,No,28,No,Entretenimiento,1.0,Bajo,2.0,A
495,464217,Femenino,No,32,No,Personal de salud,12.0,Bajo,3.0,A
496,463378,Masculino,No,30,Si,Doctor,1.0,Bajo,1.0,B
502,459255,Femenino,No,33,Si,Personal de salud,0.0,Bajo,3.0,A
503,467385,Masculino,No,47,No,Artista,1.0,Bajo,,A
504,467492,Femenino,Si,57,Si,Doctor,1.0,Bajo,2.0,A
510,460685,Masculino,No,51,,Artista,6.0,Bajo,4.0,B
511,460452,Femenino,Si,37,Si,Entretenimiento,0.0,Promedio,2.0,B
512,459322,Masculino,No,36,Si,Marketing,0.0,Bajo,1.0,A
513,464066,Femenino,No,29,Si,Personal de salud,9.0,Bajo,3.0,A
515,465165,Masculino,No,61,Si,Artista,0.0,Bajo,1.0,B
516,464526,Masculino,Si,52,Si,Entretenimiento,1.0,Promedio,4.0,A
517,460666,Femenino,Si,49,Si,Homemaker,14.0,Bajo,1.0,A
518,465417,Masculino,Si,40,Si,Entretenimiento,,Promedio,2.0,B
520,464891,Masculino,Si,42,No,Entretenimiento,1.0,Bajo,3.0,A
524,465181,Femenino,No,33,Si,Personal de salud,8.0,Bajo,1.0,A
527,459468,Masculino,Si,35,No,Artista,9.0,Promedio,3.0,B
528,467316,Femenino,No,42,Si,Doctor,0.0,Bajo,1.0,A
530,463757,Masculino,No,39,Si,Artista,0.0,Bajo,3.0,B
531,462314,Femenino,No,28,No,Doctor,14.0,Bajo,1.0,A
532,466392,Femenino,Si,45,Si,Ingeniero,3.0,Promedio,,B
533,466652,Femenino,Si,61,Si,Doctor,1.0,Promedio,2.0,B
536,466790,Masculino,Si,45,Si,Doctor,1.0,Promedio,2.0,A
537,463844,Femenino,Si,26,Si,Ingeniero,9.0,Bajo,2.0,B
540,459149,Masculino,Si,43,No,Ejecutivo,0.0,Alto,4.0,B
543,459947,Femenino,No,37,Si,Artista,3.0,Bajo,1.0,B
546,466338,Femenino,No,39,No,Ingeniero,0.0,Bajo,3.0,A
549,466369,Femenino,No,38,No,Homemaker,5.0,Bajo,1.0,B
552,461125,Masculino,Si,51,Si,Homemaker,1.0,Bajo,,A
553,463471,Masculino,No,57,Si,Marketing,1.0,Bajo,4.0,A
555,465879,Masculino,No,39,Si,Artista,0.0,Bajo,1.0,A
556,463961,Femenino,No,30,No,Ingeniero,0.0,Bajo,4.0,A
557,462634,Femenino,Si,43,No,Artista,0.0,Promedio,3.0,A
560,467785,Masculino,Si,43,No,Artista,1.0,Bajo,2.0,B
561,461928,Masculino,Si,69,Si,Abogado,,Bajo,1.0,A
567,465414,Femenino,No,30,No,Ingeniero,0.0,Bajo,1.0,B
569,462312,Femenino,No,38,Si,Ingeniero,8.0,Bajo,4.0,A
573,466414,Masculino,Si,66,Si,Artista,1.0,Bajo,3.0,A
576,462713,Femenino,No,40,Si,Ingeniero,,Bajo,1.0,B
582,460767,Masculino,Si,57,Si,Entretenimiento,8.0,Promedio,5.0,A
583,464319,Femenino,No,33,No,Doctor,0.0,Bajo,1.0,A
585,459873,Masculino,Si,55,Si,Artista,,Promedio,3.0,A
586,461608,Femenino,Si,56,Si,Ejecutivo,,Alto,4.0,A
588,461704,Masculino,Si,30,Si,Personal de salud,1.0,Bajo,2.0,A
590,462677,Femenino,No,43,Si,Artista,2.0,Bajo,4.0,B
591,465006,Masculino,No,39,Si,Entretenimiento,5.0,Bajo,1.0,A
596,466044,Masculino,Si,27,No,Entretenimiento,0.0,Promedio,4.0,A
597,461163,Femenino,Si,60,No,Entretenimiento,9.0,Bajo,4.0,B
598,467106,Masculino,Si,45,Si,Entretenimiento,4.0,Promedio,3.0,B
602,459010,Femenino,Si,48,Si,Artista,,Promedio,3.0,B
603,466537,Femenino,Si,83,No,Abogado,,Bajo,2.0,A
604,459046,Masculino,Si,57,Si,Ejecutivo,,Bajo,4.0,A
606,462695,Masculino,Si,51,Si,Artista,8.0,Bajo,5.0,A
610,461609,Femenino,Si,45,Si,Artista,5.0,Promedio,2.0,B
614,462536,Femenino,Si,48,No,Ingeniero,1.0,Alto,,B
619,461263,Femenino,Si,48,Si,Artista,1.0,Bajo,1.0,A
620,460027,Femenino,No,37,Si,Entretenimiento,6.0,Bajo,,A
622,464106,Masculino,Si,55,Si,Entretenimiento,1.0,Bajo,2.0,A
627,467543,Masculino,Si,68,Si,Abogado,0.0,Alto,2.0,B
629,463040,Masculino,Si,75,No,Abogado,1.0,Alto,2.0,B
632,467139,Femenino,No,30,Si,Artista,0.0,Bajo,3.0,A
633,459366,Femenino,Si,41,Si,Artista,0.0,Bajo,4.0,A
634,460689,Masculino,Si,41,,Ejecutivo,6.0,Alto,2.0,A
635,462167,Femenino,Si,35,No,Personal de salud,2.0,Bajo,1.0,A
640,463399,Femenino,No,26,No,Marketing,3.0,Bajo,3.0,A
647,466457,Femenino,Si,62,,Abogado,8.0,Bajo,5.0,A
648,463909,Femenino,No,25,Si,Personal de salud,1.0,Bajo,3.0,B
649,466099,Femenino,Si,73,Si,Abogado,1.0,Bajo,1.0,B
651,463951,Masculino,Si,46,No,Entretenimiento,0.0,Promedio,3.0,A
653,465289,Masculino,Si,25,Si,Ejecutivo,1.0,Alto,2.0,A
654,466718,Masculino,Si,66,,Ejecutivo,0.0,Alto,2.0,B
655,464219,Masculino,No,27,Si,Marketing,1.0,Bajo,2.0,A
656,467098,Masculino,Si,87,No,Ejecutivo,1.0,Bajo,2.0,A
657,467451,Femenino,Si,47,Si,Artista,0.0,Bajo,1.0,A
659,462289,Masculino,Si,60,Si,Artista,0.0,Promedio,4.0,A
660,467459,Masculino,Si,40,Si,Ejecutivo,,Alto,5.0,B
661,460308,Femenino,No,32,Si,Doctor,7.0,Bajo,,A
666,466173,Masculino,No,28,No,Entretenimiento,1.0,Bajo,,A
667,464136,Masculino,Si,69,Si,Artista,0.0,Promedio,3.0,A
672,461597,Femenino,Si,38,Si,Doctor,1.0,Promedio,4.0,B
679,463960,Masculino,Si,26,Si,Doctor,1.0,Promedio,2.0,A
683,466267,Masculino,Si,26,Si,Entretenimiento,0.0,Promedio,3.0,A
685,465898,Femenino,No,37,Si,Artista,12.0,Bajo,2.0,A
692,463877,Masculino,Si,42,No,Entretenimiento,0.0,Promedio,4.0,A
695,465448,Masculino,No,32,No,Personal de salud,0.0,Bajo,3.0,A
696,463041,Femenino,Si,43,Si,Artista,,Promedio,4.0,B
698,467233,Femenino,No,67,No,Artista,1.0,Bajo,2.0,B
699,465264,Masculino,Si,88,No,Ejecutivo,0.0,Bajo,1.0,A
703,461245,Masculino,Si,39,Si,,5.0,Promedio,3.0,A
704,467693,Masculino,Si,61,Si,Entretenimiento,7.0,Alto,5.0,B
706,461499,Femenino,Si,25,No,Ingeniero,0.0,Promedio,2.0,A
707,465936,Masculino,No,35,Si,Artista,6.0,Bajo,3.0,B
709,466376,Femenino,Si,53,No,Homemaker,2.0,Alto,3.0,B
714,463455,Masculino,Si,46,No,Artista,0.0,Bajo,2.0,B
716,463959,Femenino,No,37,No,Artista,1.0,Bajo,1.0,B
722,463302,Femenino,Si,58,Si,Ingeniero,,Alto,4.0,B
723,462659,Masculino,Si,25,Si,Entretenimiento,8.0,Promedio,2.0,A
725,462071,Masculino,Si,43,No,Doctor,0.0,Bajo,2.0,A
727,463664,Femenino,No,26,No,Ingeniero,0.0,Bajo,1.0,A
730,465900,Femenino,No,36,Si,Entretenimiento,7.0,Bajo,1.0,A
732,464490,Masculino,Si,85,Si,Artista,1.0,Alto,4.0,A
734,460411,Masculino,Si,43,Si,Personal de salud,7.0,Alto,2.0,A
735,466491,Masculino,Si,82,No,Ejecutivo,1.0,Alto,2.0,B
736,459062,Masculino,,48,Si,Ejecutivo,,Alto,5.0,B
738,463308,Masculino,Si,53,Si,Ingeniero,1.0,Bajo,2.0,A
739,463478,Masculino,Si,50,Si,Artista,0.0,Promedio,4.0,B
741,461954,Femenino,Si,35,No,Ingeniero,2.0,Promedio,6.0,B
743,463800,Femenino,No,33,Si,Ingeniero,1.0,Bajo,3.0,A
745,459778,Masculino,Si,48,Si,Entretenimiento,0.0,Promedio,4.0,B
749,462675,Masculino,Si,56,Si,Artista,,Bajo,4.0,A
753,464258,Femenino,Si,88,No,Abogado,0.0,Alto,2.0,B
755,467561,Masculino,Si,61,Si,Artista,1.0,Bajo,2.0,B
756,460322,Femenino,Si,45,No,Ingeniero,8.0,Bajo,,A
757,464665,Femenino,Si,51,No,Ingeniero,1.0,Promedio,5.0,B
758,460670,Masculino,No,42,Si,Artista,6.0,Bajo,2.0,B
760,459526,Femenino,No,45,Si,Personal de salud,4.0,Bajo,1.0,A
762,466492,Femenino,Si,85,Si,Abogado,0.0,Alto,2.0,A
763,459489,Masculino,Si,46,Si,Doctor,1.0,Promedio,4.0,B
764,459681,Femenino,Si,32,Si,Artista,0.0,Promedio,2.0,B
767,461221,Femenino,No,30,No,Marketing,1.0,Bajo,4.0,B
768,464090,Femenino,No,33,Si,Ingeniero,1.0,Bajo,2.0,A
769,459863,Masculino,Si,61,No,Personal de salud,,Bajo,3.0,A
771,462540,Masculino,Si,32,Si,Entretenimiento,6.0,Bajo,2.0,B
772,467411,Masculino,Si,52,Si,Artista,0.0,Alto,2.0,B
773,463997,Femenino,Si,42,No,Entretenimiento,0.0,Promedio,3.0,B
774,464103,Masculino,Si,47,Si,Artista,3.0,Promedio,2.0,B
779,462352,Masculino,Si,52,Si,Entretenimiento,1.0,Promedio,3.0,B
781,463228,Femenino,Si,56,Si,Artista,0.0,Promedio,5.0,B
